Time,Country_Name,Per_capita_GDP_rate,Per_capita_GDP,Gross_domestic_productA_at_market_prices,Population_growth_rate,Male_population,Female_population,Literacy_rate_male,Literacy_rate_female,Government_education_expenditure_as_a_percentage_of_GDP,Government_expenditure_on_secondary_and_higher_vocational_education_as_a_percentage_of_GDP,Total_population,Higher_education_enrollment,Higher_education_enrollment_rate,Educational_Fund ,Enrollment_Rate,Primary_school_to_university_total_enrollment_rate,Gross_enrolment_ratio
2007,Vietnam,Low,1161.47,97817393660,0.0108,0.4929,0.5071,0,0,0,0,84218500,1587609,0.0189,Low,Low,1.24440785,0.64824121
2008,Vietnam,Low,1214.25,1.03E+11,0.0106,0.4932,0.5068,0,0,0.0489,0,85118700,1654846,0.0194,High,Low,1.91929694,0.66331658
2009,Vietnam,Low,1266.31,1.09E+11,0.0106,0.4935,0.5065,0.9564,0.9312,0.0482,0.0025,86025000,1774321,0.0206,High,Low,1.58833248,0.67839196
2010,Vietnam,Low,1333.58,1.16E+11,0.0105,0.4937,0.5063,0,0,0.0514,0.0029,86932500,2020413,0.0232,High,Low,2.17706079,0.69346734
2011,Vietnam,Low,1401.84,1.23E+11,0.0106,0.494,0.506,0,0,0.0481,0.0028,87860300,2229494,0.0254,High,Low,1.36735293,0.70854271
2012,Vietnam,Low,1459.64,1.30E+11,0.0107,0.4942,0.5058,0,0,0.0553,0.0027,88809200,2261204,0.0255,High,Low,1.88186568,0.72361809
2013,Vietnam,Low,1522.49,1.37E+11,0.0106,0.4944,0.5056,0,0,0.0565,0.0028,89759500,2250030,0.0251,High,Low,1.67425743,0.73869347
2014,Vietnam,Low,1596.35,1.45E+11,0.0107,0.4945,0.5055,0,0,0,0,90728900,2692124,0.0297,Low,Low,1.78800472,0.75376884
2005,China,Low,2738.21,3.57E+12,0.0059,0.5142,0.4858,0,0,0,0,1303720000,20601220,0.0158,Low,Low,2.35167766,0.76884422
2006,China,Low,3069.3,4.02E+12,0.0056,0.5143,0.4857,0,0,0,0,1311020000,23360536,0.0178,Low,High,1.86836767,0.7839196
2007,China,Low,3487.85,4.60E+12,0.0052,0.5144,0.4856,0,0,0,0,1317885000,25346280,0.0192,Low,High,1.90890475,0.79899497
2008,China,Low,3805.03,5.04E+12,0.0051,0.5145,0.4855,0,0,0,0,1324655000,26691696,0.0201,Low,High,2.15381368,0.81407035
2005,Iraq,Low,3857.61,1.04E+11,0.0259,0.5054,0.4946,0,0,0,0,27008426,424908,0.0157,Low,Low,1.60661668,0.82914573
2007,Iraq,Low,4098.31,1.16E+11,0.0247,0.5055,0.4945,0,0,0,0,28390433,0,0,Low,Low,2.23843231,0.84422111
2009,China,Low,4142.04,5.51E+12,0.005,0.5146,0.4854,0,0,0,0,1331260000,29295840,0.022,Low,High,1.60320109,0.85929648
2006,Iraq,Low,4143.69,1.15E+11,0.0252,0.5055,0.4945,0,0,0,0,27697912,0,0,Low,Low,2.39859331,0.87437186
2008,Iraq,Low,4325.67,1.26E+11,0.0251,0.5054,0.4946,0,0,0,0,29111417,0,0,Low,Low,2.33032471,0.88944724
2009,Iraq,Low,4354.68,1.30E+11,0.0265,0.5054,0.4946,0,0,0,0,29894652,0,0,Low,Low,1.98439967,0.90452261
2010,Iraq,Low,4502.75,1.39E+11,0.0286,0.5054,0.4946,0,0,0,0,30762701,0,0,Low,Low,1.79541998,0.91959799
2010,China,Low,4560.51,6.10E+12,0.0048,0.5147,0.4853,0.985,0.9561,0,0,1337705000,31046735,0.0232,Low,High,2.24212526,0.93467337
2011,Iraq,Low,4695.36,1.49E+11,0.0309,0.5055,0.4945,0,0,0,0,31727053,0,0,Low,Low,1.9677912,0.94974874
2011,China,Low,4971.54,6.68E+12,0.0048,0.5148,0.4852,0,0,0,0,1344130000,31308378,0.0233,Low,High,2.57031377,0.96482412
2012,Iraq,Low,5178.42,1.70E+11,0.0325,0.5056,0.4944,0,0,0,0,32776571,0,0,Low,Low,2.33414925,0.9798995
2014,Iraq,Low,5203.44,1.82E+11,0.0326,0.5059,0.4941,0,0,0,0,35006080,0,0,Low,Low,2.40843622,0.99497487
2012,China,Low,5336.06,7.21E+12,0.0049,0.5149,0.4851,0,0,0,0,1350695000,32585961,0.0241,Low,High,2.8613187,1.01005025
2013,Iraq,Low,5338.52,1.81E+11,0.0332,0.5058,0.4942,0.5502,0.3823,0,0,33883145,0,0,Low,Low,2.39977233,1.02512563
2013,China,Low,5721.69,7.77E+12,0.0049,0.515,0.485,0,0,0,0,1357380000,34091290,0.0251,Low,High,2.55457238,1.04020101
2014,China,Low,6108.24,8.33E+12,0.0051,0.5151,0.4849,0,0,0,0,1364270000,41924198,0.0307,Low,High,2.65980266,1.05527638
